repo_name,repoType,sizeUsers,status,lifeSpan,authors,commits,pulls,issues,comments,reviews,language
abrahamgreyson/laravel-mns,User,2,Dead,35,8,60,2,5,11,0,Laravel
actuallymab/laravel-comment,User,3,Alive,60,62,65,30,40,53,1,Laravel
akalongman/laravel-multilang,User,3,Alive,64,19,181,12,12,25,0,Laravel
akhileshdarjee/origin-cms,User,1,Alive,22,2,34,6,0,4,0,Laravel
akmuhammet/activitylog,User,1,Dead,0,1,18,0,0,0,0,Laravel
appoets/default-installer,Organization,1,Dead,10,1,15,1,0,0,0,Laravel
appstract/laravel-tracer,Organization,2,Dead,16,7,86,6,0,4,0,Laravel
arandilopez/laravel-profane,User,3,Alive,62,42,136,41,10,56,3,Laravel
artkonekt/appshell,Organization,2,Alive,59,14,465,14,12,53,5,Laravel
atomescrochus/laravel-gracenote,Organization,2,Dead,33,4,73,15,3,10,0,Laravel
cevv13/form-ajax-submit,User,1,Dead,6,2,15,0,1,0,0,Laravel
codedge/laravel-fpdf,User,3,Alive,64,71,188,86,32,93,5,Laravel
codedge/laravel-selfupdater,User,3,Alive,62,43,520,221,38,253,9,Laravel
codedge/laravel-sofortlib,User,2,Alive,64,3,75,42,1,20,0,Laravel
core-system/bootstrap-form,Organization,2,Dead,32,14,15,4,9,13,1,Laravel
czim/laravel-listify,User,1,Dead,43,1,58,0,1,0,0,Laravel
deathkel/apitest,User,1,Dead,24,1,47,9,0,0,0,Laravel
devemio/elasticsearch-eloquent,User,2,Alive,61,7,146,8,16,14,0,Laravel
dmitry-ivanov/laravel-console-logger,User,2,Alive,64,15,729,4,10,47,10,Laravel
dmitry-ivanov/laravel-console-mutex,User,3,Alive,60,22,387,12,13,62,0,Laravel
dmitry-ivanov/laravel-db-profiler,User,2,Alive,54,12,273,2,7,15,0,Laravel
dmitry-ivanov/laravel-helper-functions,User,2,Alive,56,10,496,3,4,23,0,Laravel
dmitry-ivanov/laravel-testing-tools,User,2,Alive,51,5,568,2,2,7,0,Laravel
eliurkis/crud,User,1,Dead,27,1,111,18,0,0,0,Laravel
ericmakesstuff/laravel-server-monitor,Organization,2,Dead,41,11,27,11,7,17,0,Laravel
fobiaphp/laravel-sphinx,Organization,2,Alive,57,10,105,14,0,2,0,Laravel
geekcom/validator-docs,User,3,Alive,61,69,204,91,32,144,11,Laravel
gitscrum-ce/laravel-gitscrum,Organization,3,Alive,59,258,714,205,145,394,5,Laravel
hazestudio/laravel-gopay-sdk,Organization,2,Dead,51,9,18,3,3,4,1,Laravel
heshanh/gofax,User,1,Dead,15,1,6,0,0,0,0,Laravel
irazasyed/jwt-auth-guard,User,3,Zombie,69,84,28,9,38,113,0,Laravel
josh-taylor/migrations-generator,User,1,Dead,5,2,23,0,3,0,0,Laravel
josh-taylor/simple-sitemap,User,1,Dead,0,0,1,0,0,0,0,Laravel
jpmurray/laravel-rrule,User,1,Dead,2,2,52,4,7,1,0,Laravel
kblais/query-filter,User,2,Alive,61,5,56,15,4,7,1,Laravel
kimmelsg/cj-google-geocoder,Organization,2,Dead,27,4,34,4,0,3,3,Laravel
kimmelsg/cj-temporal-models,Organization,2,Dead,13,5,61,10,0,7,0,Laravel
larapack/hooks,Organization,3,Zombie,56,22,161,40,12,41,0,Laravel
larapack/voyager-hooks,Organization,3,Zombie,57,29,63,21,15,62,12,Laravel
